video_id,start,end,split,surgery_id,phase_id,operation_id
case_0002,0,10,train,5,3,2
case_0002,11.33,15.23,train,0,6,8
case_0002,15.23,22.14,train,0,0,0
case_0002,22.14,26.98,train,0,6,13
case_0002,26.98,50.12,train,0,7,3
case_0002,50.12,56.66,train,0,1,10
case_0002,56.66,62.38,train,0,1,20
case_0002,62.38,126.26,train,0,1,9
case_0002,126.26,159.5,train,0,8,12
case_0002,159.82,167.93,train,2,0,0
case_0002,167.93,178.8,train,2,4,7
case_0002,178.8,186.55,train,2,4,6
case_0002,186.55,197,train,12,32,77
case_0002,197,268.29,train,12,49,100
case_0002,268.29,270.64,train,12,32,103
case_0002,270.64,280.16,train,0,11,17
case_0002,280.16,299.47,train,0,5,4
case_0007,0,20,test,5,3,2
case_0007,20,48.5,test,6,9,31
case_0007,48.5,53.65,test,6,6,8
case_0007,53.65,58,test,6,18,18
case_0007,58,90.2,test,6,24,54
case_0007,90.2,99.5,test,6,9,48
case_0007,99.5,106,test,6,9,52
case_0007,106,114.5,test,6,24,66
case_0007,114.5,122,test,6,9,56
case_0007,122,126.96,test,6,9,49
case_0007,126.96,137.09,test,5,3,2
case_0012,0,3.14,train,0,6,8
case_0012,3.14,10.23,train,0,6,13
case_0012,10.23,20.25,train,0,17,25
case_0012,20.25,25.49,train,3,2,1
case_0012,25.49,31,train,0,0,0
case_0012,31,71.89,train,0,7,3
case_0012,71.89,76.26,train,3,2,1
case_0012,76.26,92.34,train,0,1,10
case_0012,92.34,106.62,train,3,2,1
case_0012,106.62,113.65,train,0,14,11
case_0012,113.65,135.28,train,0,1,24
case_0012,135.28,176.24,train,0,1,9
case_0012,176.24,184.11,train,0,1,46
case_0012,184.11,194.26,train,3,2,1
case_0012,194.26,215.54,train,0,1,46
case_0012,215.54,220.45,train,0,14,11
case_0012,220.45,228.03,train,0,8,12
case_0012,228.03,240.11,train,2,0,0
case_0012,240.11,249.95,train,3,2,1
case_0012,249.95,260.88,train,2,4,7
case_0012,260.88,275.65,train,2,11,17
case_0012,275.65,280.53,train,3,2,1
case_0012,280.53,291.68,train,0,5,4
case_0012,291.68,295.54,train,0,5,19
case_0013,0,7.83,train,5,3,2
case_0013,7.83,18.33,train,0,6,8
case_0013,18.33,28.41,train,3,2,1
case_0013,28.41,30.54,train,0,18,18
case_0013,30.54,35.58,train,0,12,16
case_0013,35.58,41.35,train,0,0,0
case_0013,41.35,43.44,train,0,14,11
case_0013,43.44,54.43,train,0,6,13
case_0013,54.43,59.03,train,0,0,0
case_0013,59.03,60.58,train,0,14,11
case_0013,60.58,88.75,train,0,7,3
case_0013,88.75,100,train,0,1,10
case_0013,100,104.15,train,0,0,0
case_0013,104.15,106.37,train,0,14,11
case_0013,106.37,112.8,train,0,1,20
case_0013,112.8,149.34,train,0,1,24
case_0013,149.34,198.38,train,0,1,9
case_0013,198.38,212.35,train,3,2,1
case_0013,212.35,252.23,train,0,8,15
case_0013,252.23,262.83,train,2,4,7
case_0013,262.83,276.86,train,2,11,22
case_0013,276.86,291.8,train,0,5,4
case_0015,0,9.24,train,5,3,2
case_0015,9.29,10.26,train,0,0,0
case_0015,10.26,23.27,train,3,2,1
case_0015,23.27,38.4,train,0,6,13
case_0015,38.4,70.88,train,0,7,3
case_0015,70.88,197.28,train,0,1,28
case_0015,197.28,211.28,train,0,8,12
case_0015,211.28,221.76,train,0,8,43
case_0015,221.76,237.28,train,3,2,1
case_0015,237.61,243.84,train,2,0,0
case_0015,243.84,252.28,train,2,4,7
case_0015,252.28,260,train,2,4,6
case_0015,260,270,train,3,2,1
case_0015,270,271.36,train,0,11,17
case_0015,271.87,277.68,train,0,5,4
case_0015,277.68,285.98,train,3,2,1
case_0017,0,6.08,train,5,3,2
case_0017,6.08,18.16,train,3,2,1
case_0017,18.16,41.84,train,6,53,139
case_0017,41.84,65.52,train,6,53,144
case_0017,65.52,71.44,train,5,3,2
case_0017,71.44,75.4,train,6,20,27
case_0017,75.4,94.52,train,6,9,62
