video_id,start,end,split,surgery_id,phase_id,operation_id,segment_path
case_0002,0,10,train,5,3,2,./OphNet_trimmed_videos/case_0002/case_0002_0.mp4
case_0002,11.33,15.23,train,0,6,8,./OphNet_trimmed_videos/case_0002/case_0002_1.mp4
case_0002,15.23,22.14,train,0,0,0,./OphNet_trimmed_videos/case_0002/case_0002_2.mp4
case_0002,22.14,26.98,train,0,6,13,./OphNet_trimmed_videos/case_0002/case_0002_3.mp4
case_0002,26.98,50.12,train,0,7,3,./OphNet_trimmed_videos/case_0002/case_0002_4.mp4
case_0002,50.12,56.66,train,0,1,10,./OphNet_trimmed_videos/case_0002/case_0002_5.mp4
case_0002,56.66,62.38,train,0,1,20,./OphNet_trimmed_videos/case_0002/case_0002_6.mp4
case_0002,62.38,126.26,train,0,1,9,./OphNet_trimmed_videos/case_0002/case_0002_7.mp4
case_0002,126.26,159.5,train,0,8,12,./OphNet_trimmed_videos/case_0002/case_0002_8.mp4
case_0002,159.82,167.93,train,2,0,0,./OphNet_trimmed_videos/case_0002/case_0002_9.mp4
case_0002,167.93,178.8,train,2,4,7,./OphNet_trimmed_videos/case_0002/case_0002_10.mp4
case_0002,178.8,186.55,train,2,4,6,./OphNet_trimmed_videos/case_0002/case_0002_11.mp4
case_0002,186.55,197,train,12,32,77,./OphNet_trimmed_videos/case_0002/case_0002_12.mp4
case_0002,197,268.29,train,12,49,100,./OphNet_trimmed_videos/case_0002/case_0002_13.mp4
case_0002,268.29,270.64,train,12,32,103,./OphNet_trimmed_videos/case_0002/case_0002_14.mp4
case_0002,270.64,280.16,train,0,11,17,./OphNet_trimmed_videos/case_0002/case_0002_15.mp4
case_0002,280.16,299.47,train,0,5,4,./OphNet_trimmed_videos/case_0002/case_0002_16.mp4
case_0007,0,20,test,5,3,2,./OphNet_trimmed_videos/case_0007/case_0007_0.mp4
case_0007,20,48.5,test,6,9,31,./OphNet_trimmed_videos/case_0007/case_0007_1.mp4
case_0007,48.5,53.65,test,6,6,8,./OphNet_trimmed_videos/case_0007/case_0007_2.mp4
case_0007,53.65,58,test,6,18,18,./OphNet_trimmed_videos/case_0007/case_0007_3.mp4
case_0007,58,90.2,test,6,24,54,./OphNet_trimmed_videos/case_0007/case_0007_4.mp4
case_0007,90.2,99.5,test,6,9,48,./OphNet_trimmed_videos/case_0007/case_0007_5.mp4
case_0007,99.5,106,test,6,9,52,./OphNet_trimmed_videos/case_0007/case_0007_6.mp4
case_0007,106,114.5,test,6,24,66,./OphNet_trimmed_videos/case_0007/case_0007_7.mp4
case_0007,114.5,122,test,6,9,56,./OphNet_trimmed_videos/case_0007/case_0007_8.mp4
case_0007,122,126.96,test,6,9,49,./OphNet_trimmed_videos/case_0007/case_0007_9.mp4
case_0007,126.96,137.09,test,5,3,2,./OphNet_trimmed_videos/case_0007/case_0007_10.mp4
case_0012,0,3.14,train,0,6,8,./OphNet_trimmed_videos/case_0012/case_0012_0.mp4
case_0012,3.14,10.23,train,0,6,13,./OphNet_trimmed_videos/case_0012/case_0012_1.mp4
case_0012,10.23,20.25,train,0,17,25,./OphNet_trimmed_videos/case_0012/case_0012_2.mp4
case_0012,20.25,25.49,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_3.mp4
case_0012,25.49,31,train,0,0,0,./OphNet_trimmed_videos/case_0012/case_0012_4.mp4
case_0012,31,71.89,train,0,7,3,./OphNet_trimmed_videos/case_0012/case_0012_5.mp4
case_0012,71.89,76.26,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_6.mp4
case_0012,76.26,92.34,train,0,1,10,./OphNet_trimmed_videos/case_0012/case_0012_7.mp4
case_0012,92.34,106.62,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_8.mp4
case_0012,106.62,113.65,train,0,14,11,./OphNet_trimmed_videos/case_0012/case_0012_9.mp4
case_0012,113.65,135.28,train,0,1,24,./OphNet_trimmed_videos/case_0012/case_0012_10.mp4
case_0012,135.28,176.24,train,0,1,9,./OphNet_trimmed_videos/case_0012/case_0012_11.mp4
case_0012,176.24,184.11,train,0,1,46,./OphNet_trimmed_videos/case_0012/case_0012_12.mp4
case_0012,184.11,194.26,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_13.mp4
case_0012,194.26,215.54,train,0,1,46,./OphNet_trimmed_videos/case_0012/case_0012_14.mp4
case_0012,215.54,220.45,train,0,14,11,./OphNet_trimmed_videos/case_0012/case_0012_15.mp4
case_0012,220.45,228.03,train,0,8,12,./OphNet_trimmed_videos/case_0012/case_0012_16.mp4
case_0012,228.03,240.11,train,2,0,0,./OphNet_trimmed_videos/case_0012/case_0012_17.mp4
case_0012,240.11,249.95,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_18.mp4
case_0012,249.95,260.88,train,2,4,7,./OphNet_trimmed_videos/case_0012/case_0012_19.mp4
case_0012,260.88,275.65,train,2,11,17,./OphNet_trimmed_videos/case_0012/case_0012_20.mp4
case_0012,275.65,280.53,train,3,2,1,./OphNet_trimmed_videos/case_0012/case_0012_21.mp4
case_0012,280.53,291.68,train,0,5,4,./OphNet_trimmed_videos/case_0012/case_0012_22.mp4
case_0012,291.68,295.54,train,0,5,19,./OphNet_trimmed_videos/case_0012/case_0012_23.mp4
case_0013,0,7.83,train,5,3,2,./OphNet_trimmed_videos/case_0013/case_0013_0.mp4
case_0013,7.83,18.33,train,0,6,8,./OphNet_trimmed_videos/case_0013/case_0013_1.mp4
case_0013,18.33,28.41,train,3,2,1,./OphNet_trimmed_videos/case_0013/case_0013_2.mp4
case_0013,28.41,30.54,train,0,18,18,./OphNet_trimmed_videos/case_0013/case_0013_3.mp4
